emoNormal001,e cl u s o d e sh o
emoNormal001,]  # ] _ # _ ]  _ #
emoNormal002,sh u v a i ts a a w a m i n a r a u b e k i n i N g e N d e s U
emoNormal002, _ [ _ _ ]  _ _ _ _ # _ [ _ _ _ _ _ _ ] _ # _ [ _ _ _ _ _ ] _ #
emoNormal003,d e e v i s u s a N w a t o t e m o ts U k a r e t e i r u y o o n i m i e r u
emoNormal003,_ ] _ _ _ _ _ _ _ _ _ # _ [ _ _ _ #  _ [ _ _ _ _ _ _ ] _ # _ [ ] _ # _ [ ] _ #
emoNormal004,s U t i i v u w a j e e N k a r a t e g a m i o m o r a cl t a
emoNormal004,_ [ _ ] _ _ _ _ # _ ] _ # _ ] _ # _ [ _ _ _ _ # _ [ _ _  _ _ #
emoNormal005,k a n o j o w a m o o ts a r u t o y a v e e t o o b e N t o i cl t a pau k o t e N h a n o s a cl ky o k u k a g a s U k i d a
emoNormal005,_ ] _ _ _ _ _ # _ ] _  _ _ _ _ _ _ _ # _ [ _ _ ] _ _ _ _ _ # [  _ _ _   # _ [ _ _ _ _ _ _ _ # _  [  _ _ _ _ _ _ _ # _ [ _ ] _ #
emoNormal006,s U t o r a cl t o f o o d o o N e i v o N w a pau sh e i k u s u p i a n o u m a r e t a t o k o r o d e s U g a pau m a i t o sh i o o k u n o k a N k o o ky a k u g a o t o z u r e m a s U
emoNormal006,_ [ _ _ _ _  _ _ # _ [ _ _ # ] # [ ] _ _ _ _ _   #  _ [ _ _ _ _ ] _ _ _ _ # [ _ _ _ _ _ # [ _ _ _ _ _ _ ] _ _ _ _   # _ [ _ _ _  _ # ] _ _ _ _ # _ [ _ _ _ ]  _ _ _ _ _ # [ _ _ _ _ _ _ _ ] _ #
emoNormal007,k a r e w a py u u m a o n a r a s u n o n i pau o o i n i h o n e o o cl t a
emoNormal007,_ ] _ _ _ #  _ ] _ _ _ # _ [ _ _ _ ] _ _ _ _   # ] _ _ _ # _ [ _ ] # ]  _ _ #
emoNormal008,k a r e g a k a i k o s a r e r u t o w a my o o n a h a n a sh i d a
emoNormal008,_ ] _ _ _ # _ ] _ _ # _ [ _ _ _ _ _ ] _ #  _ ] _ _ # _ [ _ _  _ ] _ #
emoNormal009,k u r i s u w a v a N p a i a n a i t o o t a o sh I t a
emoNormal009,_ ] _ _ _ _ _ # _ [ _ _ _ _ _ _ ] _ _ _ # _ [ _  _ ] _ #
emoNormal010,k a r e n o a d a n a w a i i e t e my o o d a y o n e
emoNormal010,_ ] _ _ _ # [ _ _ _ _ _ # [ _ _ _ #  _ ] _ _ _ _ _ _ #
emoNormal011,i t a r i a ry o k o o d e k a r e w a pau i k U ts u k a k e e sh o o n o ch i t o sh I t e y u u m e e n a t o sh i pau t a t o e b a pau n a p o r i y a f i r e N ts e o o t o z u r e t a
emoNormal011,[ _ _ _ _ _  _ ] _ _ _ _ # _ ] _ _ _ _   # ] _ _  _ _ _ # _ [ _  _ _ _ _ #  _ ] _ #  _ [ _ # _ [ _ _ _ _ _ # _ ]  _ _   # _ [ _ ] _ _ _   # _ ] _ _ _ _ _ # _ [ _ ] _  _ _ # [ _ _ _ _ _ ] _ #
emoNormal012,z e r o t o y u u g a i n e N w a pau h i N d u u b u N k a n i y u r a i sh I t e i r u
emoNormal012,_ ] _ _ _ # _ [ # _ ] _ _ _ _ _ _   # _ [ _ _ _ _ _ _ ] _ _ _ # _ [ _ _ _  _ _ _ _ _ _ #
emoNormal013,s o n o i t a z u r a m u s u m e w a n a n i k u w a n u k a o o sh I t a
emoNormal013,_ [ _ # [ _ _ _ _ _ _ _ ] _ _ _ _ _ # _ [ _ _ _ _ _ ] _ # _ [ _ #  _ [ _ #
emoNormal014,s u m i s u s a N pau p i e e r u dy u b o w a o g o sh o o k a i sh i m a s U w a pau w a t a sh i n o sh i N y u u n a n o
emoNormal014,_ ] _ _ _ _ _ _ _   # _ [ _ _ _ _  _ ] _ _ _ _ # _ [  _ _ _ _ _ #  _ [ _ ] _ # _ ]   # _ [ _ _  _ _ _ #  _ [ _ _ _ # _ ] _ #
emoNormal015,d o o s U N n o pau k o n o o m i s e pau k a N cl z e N n i k a N k o d o r i g a n a i ch a cl t e r u j a n a i
emoNormal015,_ ] # _ ] _ _ _   # _ [ _ # [ _ _ _ _   # _ [ _  _ _ _ _ _ # _ [ _ _ ] _ _ _ _ _ # _ [ _  _ _  _ _ _ _ ] _ _ _ _ #
emoNormal016,ch o o j o o n i ts u k u t o m i N n a d e y a cl h o o t o s a k e N d a
emoNormal016, _ [ _ _ _ ] _ # _  ] _ _ _ # _ [ _ _ ] _ # _ ] _  _ _ _ _ # _ [ _ ] _ _ #
emoNormal017,a cl b e r u g a n a cl t e r u
emoNormal017,]  # _ ] _ _ _ # _ [  _ _ _ _ #
emoNormal018,k a n o j o w a k a r e n i py o k o N t o o j i g i o sh I t a
emoNormal018,_ ] _ _ _ _ _ # _ ] _ _ _ #  _ [ _ ] _ _ # [ _ _ _ _ #  _ [ _ #
emoNormal019,d a N sh I s e e t o n o m e i m e i g a pau b o o sh i n i g a cl k o o n o b a cl j i o ts u k e t e i m a s U
emoNormal019,_ [ _  _ _ _ ] _ _ _ _ # _ ] _ _ _ _ _ _   # _ [ _  _ _ _ # _ [  _ _ _ _ _ # _ [  _ _ _ #  _ ] _ _ _ _ _ _ _ _ #
emoNormal020,hy u u z u g a t o N d a
emoNormal020, _ ] _ _ _ _ # _ [ _ _ #
emoNormal021,w a t a sh i w a p o py u r a a o N g a k u o k I k i t a i
emoNormal021,_ [ _ _  _ _ _ # _ [  _ _ _ _ _ ] _ _ _ _ _ # _ [ _ _ _ ] #
emoNormal022,n e k o w a ny a a ny a a t o n a k u
emoNormal022,_ ] _ _ _ #  _ ] #  _ ] _ _ # _ [ _ #
emoNormal023,w a t a sh i n o i ch i b a N u e n o a n i g a ch i ch i n o my o o d a i t o sh I t e s o n o k a i g o o n i sh u cl s e k i sh I t a
emoNormal023,_ [ _ _  _ _ _ # [  _ _ _ _ # [ _ _ # ] _ _ _ #  _ ]  _ _ _ #  _ [ _ _ _ _ _ _  _ [ _ # _ [ _ # _ [ _ _ _ _ _ #  _ [  _ _ _ _ #  _ ] _ #
emoNormal024,k a r e w a sh U sh o o n i i N t a by u u sh I t a
emoNormal024,_ ] _ _ _ #  _ [  _ _ _ _ # ] _ _ _  _ _ #  _ ] _ #
emoNormal025,s o n o k a i sh a n o ky u u s o k u n a s e e ch o o w a pau s o n o d o k U t o k u n a s e N ry a k u n i y o r u m o n o d a cl t a
emoNormal025,_ [ _ # _ [ _  _ _ _ #  _ [ _ _ _ _ _ _ # _ [ _  _ _ _ _ _   # _ [ _ # _ [ _ _ _ _ _ _ _ # _ [ _  _ _ _ _ _ # _ [ _ # _ [ _ # _ ]  _ _ #
emoNormal026,w a t a sh i w a i ts u m o m i n e r a r u w o o t a a o m o ch i a r u i t e i m a s U
emoNormal026,_ [ _ _  _ _ _ # ]  _ _ _ # _ [ _ _ _ _ _ _ _ ] _ _ _ _ # _ [  _ _ _ _ ] _ _ # [ _ ] _ #
emoNormal027,k a n o j o w a h a N d o b a cl g u o a k e t e i e n o k a g i o s a g a sh I t e m i t a g a pau m i ts U k a r a n a k a cl t a
emoNormal027,_ ] _ _ _ _ _ # _ [ _ _ _ _ ]  _ _ _ # [ _ _ _ # [ _ _ # _ [ _ ] # _ [ _ _  _ _ _ _ _ ] _ _ _ _   # _ [  _ _ _ _ _ _ _ _ _ _  ] _ #
emoNormal028,k a n o j o w a s U t a cl f u o m a t o m e t e i k e r u t o o m o i m a s U k a
emoNormal028,_ ] _ _ _ _ _ # _ [ _ ]  _ _ _ # _ [ _ _ _ _ _ _ _ _ _ _ ] _ # [ _ _ _ _ ] _ _ _ ?
emoNormal029,gy u u ny u u w a a n a t a n o k a r a d a n i y o i d a r o o pau m a i n i ch i n o N d a h o o g a i i
emoNormal029, _ [ _  _ _ _ _ # [ _ ] _ _ _ # _ [ _ _ _ _ _ # _ ] _ _ _ _ _ _   # _ ] _ _ _  _ # _ ] _ _ # _ ] _ _ # ] #
emoNormal030,a n a t a w a ry u u k a N n i n a r i k a k e t e i r u k a pau m o cl t o o m o i by o o k I k a m o sh i r e m a s e N
emoNormal030,[ _ ] _ _ _ #  _ [ _ _ _ _ _ # _ [ _ _ _ _ _ ] _ # [ _ ] _ _   # _ ]  _ _ # [ _ _ _  _ _ _ _ _ _ ] _ #  _ [ _ _ _ _ _ ] #
emoNormal031,k a n o j o w a s o n o j i k e N o pau i k i i k I t o sh I t a h i cl ch i d e by o o sh a sh I t a
emoNormal031,_ ] _ _ _ _ _ # _ [ _ # _ ] _ _ _ _   # [ _ _ ] _ _ _ #  _ [ _ # _ [  _  _ _ _ #  _ [ _  _ #  _ ] _ #
emoNormal032,k a r e w a m i z u k a r a n o sh o o g a i o pau i N d o d e n o by o o n i N n o ch i ry o o n i s a s a g e r u ts u m o r i d a
